ContactID,FriendlyName,Text,StartTime,EndTime,Duration,EntityType,Description,RegulatoryCompliance,SpeakerID,SpeakerName
16363711,null,redactexp,322.4,322.9,0.5,null,null,null,1,Agent
16363711,null,redactexp,323.4,324.8,1.4,null,null,null,1,Agent
16363711,null,redactexp,324.8,325,0.2,null,null,null,1,Agent
16363711,null,redactcc,392.4,394,1.6,null,null,null,1,Agent
16363711,null,redactcc,841.8,843.3,1.5,null,null,null,1,Agent
16363712,null,redactcvvwd,418.7,425.1,6.4,null,null,null,1,Agent
16363712,null,redactcvvwd,430.6,440,9.4,null,null,null,1,Agent
16363712,null,redactcvvwd,454.8,461.6,6.8,null,null,null,1,Agent
16363712,null,redactccback,477.7,478.6,0.9,null,null,null,1,Agent
16363712,null,redactcc,575.2,576.8,1.6,null,null,null,1,Agent
16363712,null,redactcvvwd,598.5,605.2,6.7,null,null,null,1,Agent
16363712,null,redactexp,606.6,607.2,0.6,null,null,null,1,Agent
16363712,null,redactcc,607.2,608,0.8,null,null,null,1,Agent
16363713,null,redactcc,70.7,71.7,1,null,null,null,1,Agent
16363713,null,redactcc,212,212.8,0.8,null,null,null,1,Agent
16363713,null,redactcc,214.2,217,2.8,null,null,null,1,Agent
16363713,null,redactcc,224.4,226.8,2.4,null,null,null,1,Agent
16363713,null,redactcc,322.5,323.9,1.4,null,null,null,1,Agent
16363713,null,redactcc,334.9,336,1.1,null,null,null,1,Agent
16363713,null,redactacct,369,370.9,1.9,null,null,null,1,Agent
16363713,null,redactacct,371.6,373.5,1.9,null,null,null,1,Agent
16363713,null,redactacct,373.5,374.5,1,null,null,null,1,Agent
16363713,null,redactacct,375.5,379,3.5,null,null,null,1,Agent
16363714,null,redactcc,134.1,134.8,0.7,null,null,null,1,Agent
16363715,null,redactcc,356.1,358,1.9,null,null,null,1,Agent
16363715,null,redactcc,377.8,379.1,1.3,null,null,null,1,Agent
16363715,null,redactcc,379.1,379.5,0.4,null,null,null,1,Agent
16363715,null,redactcc,475,476.2,1.2,null,null,null,1,Agent
16363715,null,redactcc,487.7,488.4,0.7,null,null,null,1,Agent
16363715,null,redactcc,501.9,502.8,0.9,null,null,null,1,Agent
16363715,null,redactcc,589.8,591.1,1.3,null,null,null,1,Agent
16363715,null,redactcc,610.6,611.1,0.5,null,null,null,1,Agent
16363715,null,redactcc,611.9,613.6,1.7,null,null,null,1,Agent
16363715,null,redactcc,617.6,620.2,2.6,null,null,null,1,Agent
16363715,null,redactcc,623.9,625.4,1.5,null,null,null,1,Agent
16363715,null,redactcc,626.9,628.8,1.9,null,null,null,1,Agent
16363715,null,redactcc,759.8,761.4,1.6,null,null,null,1,Agent
16363715,null,redactcc,777.4,778.9,1.5,null,null,null,1,Agent
16363715,null,redactcc,778.9,780.6,1.7,null,null,null,1,Agent
16363719,null,redactcc,340,341.4,1.4,null,null,null,1,Agent
16363719,null,redactcvvwd,370.3,373.1,2.8,null,null,null,1,Agent
16363719,null,redactexp,446.4,446.7,0.3,null,null,null,1,Agent
16363719,null,redactcc,446.7,448.8,2.1,null,null,null,1,Agent
16363719,null,redactcc,448.8,450.6,1.8,null,null,null,1,Agent
16363719,null,redactcc,452.6,454.4,1.8,null,null,null,1,Agent
16363719,null,redactcc,454.4,454.7,0.3,null,null,null,1,Agent
16363719,null,redactcc,531,532,1,null,null,null,1,Agent
16363719,null,redactcc,538.6,540.1,1.5,null,null,null,1,Agent
16363719,null,redactcc,540.1,541.1,1,null,null,null,1,Agent
16363720,null,redactcc,290.5,291.2,0.7,null,null,null,1,Agent
16363720,null,redactcc,300.1,301.4,1.3,null,null,null,1,Agent
16363720,null,redactcc,485.3,486.1,0.8,null,null,null,1,Agent
16363720,null,redactcc,495.3,496.7,1.4,null,null,null,1,Agent
16363720,null,redactcc,502,502.6,0.6,null,null,null,1,Agent
16363720,null,redactcc,504.1,506.7,2.6,null,null,null,1,Agent
16363720,null,redactcc,543.8,545.6,1.8,null,null,null,1,Agent
16363721,null,redactcc,296.1,297,0.9,null,null,null,1,Agent
16363721,null,redactexp,445.2,445.5,0.3,null,null,null,1,Agent
16363721,null,redactcc,527,528.8,1.8,null,null,null,1,Agent
16363721,null,redactcc,541.2,543.5,2.3,null,null,null,1,Agent
16363723,null,redactcc,332.8,334.9,2.1,null,null,null,1,Agent
16363723,null,redactcc,349.1,350.2,1.1,null,null,null,1,Agent
16363724,null,redactcvvwd,244.7,255.8,11.1,null,null,null,1,Agent
16363724,null,redactcc,262.2,263.4,1.2,null,null,null,1,Agent
16363724,null,redactcc,321.1,321.8,0.7,null,null,null,1,Agent
16363724,null,redactcvvwd,483,493.7,10.7,null,null,null,1,Agent
16363724,null,redactcc,496,497,1,null,null,null,1,Agent
16363726,null,redactssn,516,517.2,1.2,null,null,null,1,Agent
16363726,null,redactcc,738.7,740.1,1.4,null,null,null,1,Agent
16363727,null,redactcc,371.7,373,1.3,null,null,null,1,Agent
16363727,null,redactcc,515.1,516.4,1.3,null,null,null,1,Agent
16363728,null,redactcc,616.6,617.9,1.3,null,null,null,1,Agent
16363728,null,redactcc,629.5,630.3,0.8,null,null,null,1,Agent
16363728,null,redactcc,886.2,887.3,1.1,null,null,null,1,Agent
16363729,null,redactexp,187.4,187.9,0.5,null,null,null,1,Agent
16363729,null,redactcvvwd,650.6,660.7,10.1,null,null,null,1,Agent
16363729,null,redactexpwd,661.9,669.8,7.9,null,null,null,1,Agent
16363729,null,redactexp,672.2,672.5,0.3,null,null,null,1,Agent
16363729,null,redactcc,754.5,756.2,1.7,null,null,null,1,Agent
16363729,null,redactexp,853.3,859.6,6.3,null,null,null,1,Agent
16363729,null,redactexp,951.7,958.1,6.4,null,null,null,1,Agent
16363729,null,redactexp,958.8,959.4,0.6,null,null,null,1,Agent
16363729,null,redactexp,959.6,961.7,2.1,null,null,null,1,Agent
16363733,null,redactacct,313.8,316.6,2.8,null,null,null,1,Agent
16363733,null,redactacct,316.6,317,0.4,null,null,null,1,Agent
16363735,null,redactcc,179.4,179.9,0.5,null,null,null,1,Agent
16363735,null,redactcc,450,450.9,0.9,null,null,null,1,Agent
16363735,null,redactcc,454.6,455.7,1.1,null,null,null,1,Agent
16363736,null,redactcvvwd,1034.4,1046.2,11.8,null,null,null,1,Agent
16363736,null,redactcc,1058,1059.4,1.4,null,null,null,1,Agent
16363747,null,redactcc,366.2,367.3,1.1,null,null,null,1,Agent
16363747,null,redactcc,388,389.7,1.7,null,null,null,1,Agent
16363749,null,redactcc,244.5,245.4,0.9,null,null,null,1,Agent
16363751,null,redactdob,71.3,72,0.7,null,null,null,1,Agent
16363755,null,redactexp,436.1,438,1.9,null,null,null,1,Agent
16363756,null,redactexp,57.2,57.8,0.6,null,null,null,1,Agent
16363756,null,redactcc,317.2,318.4,1.2,null,null,null,1,Agent
16363756,null,redactcc,326.4,328,1.6,null,null,null,1,Agent
16363756,null,redactcc,329.6,330.8,1.2,null,null,null,1,Agent
16363757,null,redactcc,198.1,199.4,1.3,null,null,null,1,Agent
16363757,null,redactcvvwd,268.3,284.7,16.4,null,null,null,1,Agent
16363757,null,redactccback,291.6,293.2,1.6,null,null,null,1,Agent
16363759,null,redactexp,81.2,82.7,1.5,null,null,null,1,Agent
16363759,null,redactexp,82.7,83.6,0.9,null,null,null,1,Agent
16363759,null,redactcvvwd,291.5,300.1,8.6,null,null,null,1,Agent
16363759,null,redactexpwd,301.6,310.7,9.1,null,null,null,1,Agent
16363759,null,redactcc,365.5,366.2,0.7,null,null,null,1,Agent
16363759,null,redactcc,370.4,371.6,1.2,null,null,null,1,Agent
16363759,null,redactcc,371.6,372.1,0.5,null,null,null,1,Agent
16363761,null,redactcvvwd,353.2,361.6,8.4,null,null,null,1,Agent
16363762,null,redactacct,488.3,490.1,1.8,null,null,null,1,Agent
16363762,null,redactacct,498.9,500.3,1.4,null,null,null,1,Agent
16363762,null,redactacct,501.6,504.9,3.3,null,null,null,1,Agent
16363762,null,redactacct,504.9,507.5,2.6,null,null,null,1,Agent
16363762,null,redactacct,507.5,510.7,3.2,null,null,null,1,Agent
16363762,null,redactacct,510.7,512.5,1.8,null,null,null,1,Agent
16363764,null,redactcc,527.8,529.4,1.6,null,null,null,1,Agent
16363764,null,redactcc,540.6,541.7,1.1,null,null,null,1,Agent
16363764,null,redactcc,566,567.3,1.3,null,null,null,1,Agent
16363764,null,redactcc,567.3,567.8,0.5,null,null,null,1,Agent
16363764,null,redactcc,588.8,589.8,1,null,null,null,1,Agent
16363765,null,redactcc,368.6,369.6,1,null,null,null,1,Agent
16363768,null,redactexpwd,293.2,294.6,1.4,null,null,null,1,Agent
16363771,null,redactexp,70.9,71.9,1,null,null,null,1,Agent
16363771,null,redactexp,72.6,73.2,0.6,null,null,null,1,Agent
16363771,null,redactcc,322.2,324.1,1.9,null,null,null,1,Agent
16363779,null,redactexp,46,46.3,0.3,null,null,null,1,Agent
16363779,null,redactccback,77,77.8,0.8,null,null,null,1,Agent
16363779,null,redactccback,78.4,79.6,1.2,null,null,null,1,Agent
16363780,null,redactccback,270.8,271.3,0.5,null,null,null,1,Agent
16363780,null,redactexp,278.8,279.4,0.6,null,null,null,1,Agent
16363780,null,redactcc,460.9,462.4,1.5,null,null,null,1,Agent
16363781,null,redactcc,640.3,641.7,1.4,null,null,null,1,Agent
16363781,null,redactcc,642.2,643.5,1.3,null,null,null,1,Agent
16363781,null,redactcc,660.5,662.8,2.3,null,null,null,1,Agent
16363781,null,redactcc,761.2,762,0.8,null,null,null,1,Agent
16363781,null,redactcc,773,774.3,1.3,null,null,null,1,Agent
16363784,null,redactcc,242.6,243.2,0.6,null,null,null,1,Agent
16363787,null,redactcc,390.4,391.7,1.3,null,null,null,1,Agent
16363788,null,redactacct,392.2,393.9,1.7,null,null,null,1,Agent
